dateTime,caloriesOut,max,min,minutes,name,restingHeartRate
2022-01-28,37.276329999999994,142,114,5,Fat Burn,58
2022-01-28,0,177,142,0,Cardio,58
2022-01-28,0,220,177,0,Peak,58
2022-01-29,4104.75975,114,30,1415,Out of Range,58
2022-01-29,189.87241000000003,142,114,25,Fat Burn,58
2022-01-29,0,177,142,0,Cardio,58
2022-01-29,0,220,177,0,Peak,58
2022-01-30,3580.1483900000003,115,30,1429,Out of Range,59
2022-01-30,102.72807999999999,143,115,11,Fat Burn,59
2022-01-30,0,178,143,0,Cardio,59
2022-01-30,0,220,178,0,Peak,59
2022-01-31,4240.0267,113,30,1430,Out of Range,57
2022-01-31,70.18920999999999,142,113,7,Fat Burn,57
2022-01-31,24.934,177,142,3,Cardio,57
2022-01-31,0,220,177,0,Peak,57
